World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank,In Arena,PVP Premium,PVP Free,Insurance 50%,Insurance 80%,Insurance 100%,Date,Exp Points,Exp to Up,% to Up
33,669,2463053377,Ryuzaiba,234,wizard,252,8 Dewa,0,65,20,No rank,84,8,156051651,2,49.261.068,123.152.669,246.305.338,123.152.669,49.261.068,0,2024-01-19,2.463.053.377,14610383,34.2
37,670,2462574710,Xv,234,wizard,306,Snitch V, ,43,13,99,40,No rank,2673182,27,49.251.494,123.128.736,246.257.471,123.128.736,49.251.494,0,2024-01-19,2.462.574.710,15089050,35.3
34,671,2458882322,Jett,234,warrior,293,L A N L A, ,41,32,63,45,No rank,91116146,3,49.177.646,122.944.116,245.888.232,122.944.116,49.177.646,0,2024-01-19,2.458.882.322,18781438,44.0
33,672,2457693588,Feiyu,234,warrior,335,Venice, ,66,46,74,46,No rank,4161950,37,49.153.872,122.884.679,245.769.359,122.884.679,49.153.872,0,2024-01-19,2.457.693.588,19970172,46.8
02,673,2452192680,Mrlim,234,warrior,316,Avatar War, ,72,43,No rank,76,No rank,566030220,2,49.043.854,122.609.634,245.219.268,122.609.634,49.043.854,0,2024-01-19,2.452.192.680,25471080,59.6
07,674,2444044251,Phoenix,234,warrior,263,Swordfishz, ,25,18,No rank,No rank,No rank,51237574,17,48.880.885,122.202.213,244.404.425,122.202.213,48.880.885,0,2024-01-19,2.444.044.251,33619509,78.7
23,675,2443850501,Wujie,234,wizard,374,Angkor Kh, ,40,14,45,13,No rank,41856276,12,48.877.010,122.192.525,244.385.050,122.192.525,48.877.010,0,2024-01-19,2.443.850.501,33813259,79.2
11,676,2442494913,Rainsz,234,warrior,392,Legends Id, ,77,50,43,27,No rank,11234414,49,48.849.898,122.124.746,244.249.491,122.124.746,48.849.898,0,2024-01-19,2.442.494.913,35168847,82.3
37,677,2439635656,Ex,234,wizard,382,F T E, ,44,14,30,11,No rank,749463,54,48.792.713,121.981.783,243.963.566,121.981.783,48.792.713,0,2024-01-19,2.439.635.656,38028104,89.0
11,678,2439122338,Minicooper,234,warrior,254,Legendary1, ,78,51,No rank,No rank,No rank,6099433,63,48.782.447,121.956.117,243.912.234,121.956.117,48.782.447,0,2024-01-19,2.439.122.338,38541422,90.2
01,679,2438611546,Mrtixen,234,wizard,353,Sri Gala, ,75,26,81,35,No rank,102755498,9,48.772.231,121.930.577,243.861.155,121.930.577,48.772.231,0,2024-01-19,2.438.611.546,39052214,91.4
36,680,2436089698,Mhiean,234,wizard,433,The Hunter, ,49,17,6,1,No rank,11548652,18,48.721.794,121.804.485,243.608.970,121.804.485,48.721.794,0,2024-01-19,2.436.089.698,41574062,97.3
32,681,2429084589,Sardux,233,warrior,303,Haoxiangni, ,61,43,No rank,No rank,No rank,134602058,5,48.581.692,121.454.229,242.908.459,121.454.229,48.581.692,0,2024-01-19,2.429.084.589,6410821,15.2
01,682,2428503836,Yiyturnsiy,233,warrior,361,Turk Team, ,76,50,77,45,No rank,72772299,12,48.570.077,121.425.192,242.850.384,121.425.192,48.570.077,0,2024-01-19,2.428.503.836,6991574,16.6
11,683,2428257733,Izobel,233,warrior,168, , ,79,52,No rank,No rank,No rank,0,0,48.565.155,121.412.887,242.825.773,121.412.887,48.565.155,0,2024-01-19,2.428.257.733,7237677,17.2
11,684,2427193447,Ghostmytha,233,warrior,251,L T U, ,80,53,No rank,No rank,No rank,225017120,2,48.543.869,121.359.672,242.719.345,121.359.672,48.543.869,0,2024-01-19,2.427.193.447,8301963,19.7
11,685,2424946771,Hansaka,233,wizard,273,The Fixers, ,81,28,No rank,No rank,No rank,54014974,11,48.498.935,121.247.339,242.494.677,121.247.339,48.498.935,0,2024-01-19,2.424.946.771,10548639,25.0
23,686,2423935407,Vindiesell,233,warrior,202,L O V E R,5,41,27,No rank,No rank,77,12750913,32,48.478.708,121.196.770,242.393.541,121.196.770,48.478.708,0,2024-01-19,2.423.935.407,11560003,27.4
34,687,2421682084,Aliung,233,wizard,266,L A N L A,10,42,10,100,36,26,91116146,3,48.433.642,121.084.104,242.168.208,121.084.104,48.433.642,0,2024-01-19,2.421.682.084,13813326,32.8
01,688,2421421731,Yulier,233,wizard,286,T6tiau, ,77,27,No rank,No rank,No rank,33030886,22,48.428.435,121.071.087,242.142.173,121.071.087,48.428.435,0,2024-01-19,2.421.421.731,14073679,33.4
09,689,2418268586,Binancer,233,warrior,300,D A M A I, ,34,24,No rank,No rank,No rank,96204444,6,48.365.372,120.913.429,241.826.859,120.913.429,48.365.372,0,2024-01-19,2.418.268.586,17226824,40.9
11,690,2417953006,Vory,233,warrior,150,Flyang3l, ,82,54,No rank,No rank,No rank,5002862,70,48.359.060,120.897.650,241.795.301,120.897.650,48.359.060,0,2024-01-19,2.417.953.006,17542404,41.6
02,691,2417618019,Johnwick,233,warrior,292,Dream Team, ,73,44,No rank,No rank,No rank,186655044,4,48.352.360,120.880.901,241.761.802,120.880.901,48.352.360,0,2024-01-19,2.417.618.019,17877391,42.4
01,692,2416280810,Yankaa,233,wizard,335,Suicide Sq, ,78,28,No rank,47,No rank,0,0,48.325.616,120.814.040,241.628.081,120.814.040,48.325.616,0,2024-01-19,2.416.280.810,19214600,45.6
37,693,2415667406,Giukbulu,233,warrior,381,7rumpun Bn, ,45,31,31,19,No rank,0,0,48.313.348,120.783.370,241.566.741,120.783.370,48.313.348,0,2024-01-19,2.415.667.406,19828004,47.0
32,694,2415489625,Soulcare,233,wizard,329,I Am Fine, ,62,19,No rank,58,No rank,713848785,1,48.309.792,120.774.481,241.548.962,120.774.481,48.309.792,0,2024-01-19,2.415.489.625,20005785,47.4
35,695,2415436508,Akuma,233,wizard,301,Blackbulls, ,34,13,72,34,No rank,148504530,4,48.308.730,120.771.825,241.543.651,120.771.825,48.308.730,0,2024-01-19,2.415.436.508,20058902,47.6
01,696,2413021342,Jenderalx,233,warrior,396,Sri Gala, ,79,51,40,22,No rank,102755498,9,48.260.427,120.651.067,241.302.134,120.651.067,48.260.427,0,2024-01-19,2.413.021.342,22474068,53.3
