World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank
02,91,4856336547,Strainnn,277,warrior,307,Gothsterz,0,10,8,0,90,0,859851517,1
37,92,4855773167,Legendxb,277,warrior,434, ,0,9,7,11,10,0,0,0
34,93,4839847298,Ladyyim,277,warrior,435,Reverse,0,8,6,7,4,0,429132582,1
33,94,4823626217,Hyuse,277,warrior,450,The Prayer,0,11,4,9,8,0,34317780,8
15,95,4812820493,Powerfuly,277,warrior,327, ,0,8,6,0,0,0,0,0
01,96,4800644030,Helios,276,warrior,256,W I N E,0,11,7,0,0,0,0,0
01,97,4794521750,Jackdaniel,276,warrior,313,After Rain,0,12,8,0,0,0,32832263,23
36,98,4776891609,Btr,276,wizard,425,Princess,0,13,3,9,3,0,111321691,2
23,99,4744666281,Qzlxl,276,warrior,417,P E A C E,0,6,5,15,9,0,41404016,13
34,100,4679763444,Ry,275,wizard,270, ,0,9,3,89,32,0,0,0
01,101,4671835015,Jenderal,275,warrior,373,Sri Gala,0,13,9,60,36,0,102755498,9
35,102,4670895916,Kirrito,275,warrior,305,Guardioes,0,8,7,66,34,0,3750748,18
01,103,4642055101,Kairiz,274,wizard,361,Suicide Sq,0,14,5,75,32,0,0,0
02,104,4640481198,Xvdrz,274,warrior,355,Ai Migos,0,11,9,63,41,0,0,0
33,105,4640216387,Lakers,274,warrior,323,The Prayer,0,12,5,88,58,0,34317780,8
32,106,4611823455,Mfourc,274,warrior,290,Javanesse,5,4,4,0,0,81,316044660,3
01,107,4603986205,Kingleo,274,wizard,338,Game Over,0,15,6,0,45,0,91231635,10
11,108,4543815681,Love,273,wizard,509,Lovenlive,0,7,1,2,2,0,438317429,1
11,109,4523806478,Yonko,272,warrior,421,Holy Nitro,0,8,7,20,13,0,35234136,18
33,110,4522285766,Emizune,272,wizard,309,E Class,0,13,8,0,38,0,38334335,6
23,111,4494521937,Kingmans,272,warrior,313,L O V E R,0,7,6,0,92,0,12750913,32
01,112,4462316949,Batavia,272,warrior,332,W I N E,0,16,10,0,78,0,0,0
37,113,4450571986,Apak,271,wizard,403, ,0,10,3,20,6,0,0,0
33,114,4401429425,Odading,271,warrior,511,8 Dewa,15,14,6,4,4,15,156051651,2
01,115,4366534036,Hanma,270,warrior,280,T6tiau,0,17,11,0,0,0,33030886,22
36,116,4358442983,Fernandez,270,warrior,327, ,0,14,11,73,50,0,0,0
32,117,4342626862,Smokewiz,270,wizard,374,Solo Army,0,5,1,58,16,0,338461959,2
01,118,4341610371,Kingangry,270,wizard,195,The Best,0,18,7,0,0,0,0,0
32,119,4341138222,Jeixy,270,warrior,451,90s,0,6,5,11,7,0,8389414,45
09,120,4340649359,Exhausted,270,wizard,331,D A M A I,0,3,1,85,40,0,96204444,6
15,121,4336286544,Bybee,270,warrior,263,Deadlysinz,0,9,7,0,0,0,36420969,17
37,122,4334414200,Baerchi,270,warrior,384,Full House,0,11,8,28,18,0,6162444,16
01,123,4333550890,Heiniken,270,wizard,395,W I N E,0,19,8,41,19,0,0,0
11,124,4315003742,Viv,269,warrior,343,Lovenlive,0,9,8,0,77,0,438317429,1
33,125,4306672016,Machau,269,warrior,559,Texas,0,15,7,2,2,0,548214731,1
15,126,4302216823,Khalaf,269,wizard,414,Deadlysinz,0,10,3,30,9,0,36420969,17
34,127,4288445158,Musashi,269,warrior,437,Reverse,0,10,7,6,3,0,429132582,1
01,128,4281694284,Braxton,269,warrior,349,W I N E,0,20,12,88,53,0,0,0
01,129,4279089876,Tarun,269,warrior,279,After Rain,0,21,13,0,0,0,32832263,23
02,130,4258703221,Guitar,268,warrior,236,Avatar War,0,12,10,0,0,0,566030220,2
15,131,4247935419,Powerfull,268,warrior,320,Deadlysinz,0,11,8,0,0,0,36420969,17
02,132,4182534546,Tiobidy,267,warrior,381,R T F,0,13,11,39,28,0,45275170,11
09,133,4169858166,Rustez,267,warrior,310,New Born,0,4,3,0,78,0,43573161,13
11,134,4160357407,Ivory,267,wizard,293,Flyang3l,0,10,2,0,0,0,5002862,70
34,135,4157830850,Ladyyem,267,warrior,388,Reverse,0,11,8,11,6,0,429132582,1
02,136,4142802425,Alkogolik,267,wizard,329,Gothsterz,0,14,3,0,39,0,859851517,1
15,137,4111790866,Vyschalya,266,wizard,476, ,0,12,4,7,2,0,0,0
02,138,4111766133,Expz,266,warrior,360,Gothsterz,0,15,12,59,38,0,859851517,1
23,139,4106540887,Marinee,266,warrior,451,P E A C E,0,8,7,5,3,0,41404016,13
34,140,4095508417,Feifei,266,warrior,242,X Reunion,0,12,9,0,86,0,49039657,5
23,141,4091235683,Arjuna,266,warrior,388,War 87,0,9,8,32,24,0,14803386,25
02,142,4072783732,Exploz,265,warrior,522,Thekillers,0,16,13,2,2,0,8612933,36
23,143,4070906744,Wehrwolf,265,wizard,295,Crusaders,0,10,2,0,79,0,530601559,1
15,144,4059382854,Mgsot,265,warrior,445,Deadlysinz,0,13,9,12,9,0,36420969,17
